Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
TOTE BAG NOIRE;CAVALAIRE;1455;2040883702484;SAC;11,300000;16,583333;19,90;;15,00;15,00;;2078;2046258096325;;4,083333;4,90
TOTE BAG NOIRE;SAINTE MAXIME;1456;2040883702484;SAC;11,300000;16,583333;19,90;;15,00;15,00;;2076;2000562547478;;4,083333;4,90
TOTE BAG NOIRE;PORT GRIMAUD;1457;2040883702484;SAC;11,300000;16,583333;19,90;;15,00;15,00;;2077;2060907659396;;4,083333;4,90
TOWEL BAG;;1458;;SAC;13,340000;0,000000;;;;0,00;;;;;;
TRANSAT 1212 CLOCHER;;1459;2052488122505;TRANSAT;8,039999;15,000000;18,00;;18,00;18,00;;;;;;
TRANSAT 1212 PETANQUE;;1460;2060843265347;TRANSAT;8,039999;15,000000;18,00;;18,00;18,00;;;;;;
TRANSAT 1212 TERRASSE;;1461;2050421936516;TRANSAT;8,039999;15,000000;18,00;;18,00;18,00;;;;;;
TRANSAT BLONDE;;1462;2089730717011;BRADERIE;2,000000;8,333333;10,00;;10,00;10,00;;;;;;
TRIO  ICE + ICE NO + 2 VN TROPEZ;;1463;2086324153538;TRIO PACK;6,610000;15,666667;18,80;;18,80;18,80;;;;;;
TRIO  ICE PECHE BRAVADETROPEZ;;1464;;TRIO PACK;9,000000;20,666667;24,80;;24,80;24,80;;;;;;
TRIO  ICE PECHE+GINGER+2 VN TROPEZ;;1465;2146702292631;TRIO PACK;6,610000;15,666667;18,80;;18,80;18,80;;;;;;
TRIO 1 BLONDE + 2 FLUTES BLANC BLONDE;;1466;2015730159100;TRIO PACK;4,830000;17,416667;20,90;;20,90;20,90;;;;;;
TRIO 1 PECHE + 1 GINGER + 1 BLONDE;;1467;3046702292630;TRIO PACK;3,000000;9,750000;11,70;;11,70;11,70;;;;;;
TRIO 2 BK CANNES + 1 UP ROSE 37.5;;1468;2005022553495;TRIO PACK;11,500000;24,166667;29,00;;29,00;29,00;;;;;;
TRIO 2 BK CANNES + 2 ICE TROPEZ PECHE;;1469;2034515218962;TRIO PACK;9,200000;19,000000;22,80;;22,80;22,80;;;;;;
TRIO 2 ICE MIXTE MAXIME/TROPEZ;;1470;2081801212012;TRIO PACK;6,520000;17,333333;20,80;;20,80;20,80;;;;;;
TRIO 2 ICE PECHE  CANNES/TROPEZ;;1471;2040134218054;TRIO PACK;6,520000;17,333333;20,80;;20,80;20,80;;;;;;
TRIO 2 ICE PECHE  CAVALAIRE/TROPEZ;;1472;2033526925234;TRIO PACK;6,520000;17,333333;20,80;;20,80;20,80;;;;;;
TRIO 2 ICE PECHE  GRIMAUD/TROPEZ;;1473;2045259833199;TRIO PACK;6,520000;17,333333;20,80;;20,80;20,80;;;;;;
TRIO 2 ICE PECHE  MAXIME/TROPEZ;;1474;2032975348878;TRIO PACK;6,520000;17,333333;20,80;;20,80;20,80;;;;;;
